Accession,pvalue,log2FC,Gene,Label
A0A2R8Y855,0.006808189,-0.464592215,SMARCE1,NO
A0A2R8Y8D9,0.037320655,0.273538229,PROSER3,NO
A0A2R8Y8E0,0.04000844,0.411452196,BRAF,NO
A0A2R8YCH5,0.001711748,-0.210454884,CTNNB1,NO
A0A2R8YCV2,0.186609988,0.260858973,,NO
A0A2R8YD71,0.001911982,-1.044607197,SLC11A2,NO
A0A2R8YDB8,0.011834786,-0.375799918,SAP130,NO
A0A2R8YDR3,0.007104043,0.638539408,TSC2,NO
A0A2R8YDT1,0.007104043,-0.965169532,GLUL,NO
A0A2R8YE75,0.380298271,-0.22732997,HECW2,NO
A0A2R8YEM2,0.0707814,0.060698104,CCNH,NO
A0A2R8YF49,0.164028629,-0.175293526,ARHGEF5,NO
A0A2R8YGH5,0.035596029,-0.571193403,AP1S1,NO
A0A2R8YH03,0.002129112,-0.504111538,TASOR2,NO
A0A2U3TZI9,0.070280661,0.283080951,CEP78,NO
A0A2U3TZL5,0.004394741,0.337910474,CD59,NO
A0A2U3TZM0,0.005538285,-0.55882147,CHD4,NO
A0A2U3TZN6,0.002336591,-0.731420846,CASK,NO
A0A2U3TZV8,0.04397521,0.164161808,PLCH1,NO
A0A2Y9D025,0.010849327,-0.61486924,NDUFA6,NO
A0A384DVU0,0.001514706,0.6801727,PNPLA6,NO
A0A3B3IRM4,0.006338362,0.571199932,XYLB,NO
A0A3B3IRT8,0.007835899,0.329310355,SSR1,NO
A0A3B3IRX3,0.064301534,-0.23786181,MED13L,NO
A0A3B3IS71,0.009633118,-1.519947224,RB1,NO
A0A3B3ISF6,0.03333745,0.542356053,KLHDC7B,NO
A0A3B3ISJ2,0.001707937,-1.201681314,PPP1R13B,NO
A0A3B3ISJ8,0.002821617,1.341958456,CLIP1,NO
A0A3B3ISP1,0.108400879,0.169731296,ANKS1A,NO
A0A3B3ISU0,0.003585917,0.972886078,DSC2,NO
A0A3B3ISV4,0.009664853,-0.453471787,VKORC1L1,NO
A0A3B3ISV5,0.001885223,0.472553424,,NO
A0A3B3ISX4,0.127187434,-0.127926926,RMI2,NO
A0A3B3IT54,0.00429371,0.960624271,C8orf33,NO
A0A3B3IT59,0.539405694,0.056134547,MSL3,NO
A0A3B3IT92,0.002196849,0.114916787,MCM4,NO
A0A3B3ITE7,0.000309653,-0.809590908,KDM5B,NO
A0A3B3ITH3,0.035768097,0.313478013,IMPACT,NO
A0A3B3ITJ2,0.166626238,0.262168019,UROS,NO
A0A3B3ITJ4,0.011418771,-0.36987672,HNRNPL,NO
A0A3B3ITN8,0.001495696,1.27801128,GPRC5A,NO
A0A3B3ITR4,0.076348158,0.310986156,,NO
A0A3B3ITR6,0.023414628,-0.312345089,FARS2,NO
A0A3B3ITT1,0.000814958,0.487223469,RAB12,NO
A0A3B3ITT5,0.849868209,-0.011625287,RPL29,NO
A0A3B3ITW3,0.003962903,-0.900841425,ABCD3,NO
A0A3B3IU46,0.020914121,0.959921777,RAMACL,NO
A0A3B3IU69,0.329889151,-0.083910541,EML1,NO
A0A3B3IUA2,0.126604372,0.134760645,SNU13,NO
A0A3B3IUB5,0.029299065,-0.188058964,HM13,NO
A0A3F2YNW7,0.621853283,-0.015898317,ARID1B,NO
A0A3F2YNW8,0.167381467,-0.103658896,ITPR1,NO
A0A3F2YNX6,0.077994311,-0.221997398,KAT6A,NO
A0A494BYR6,0.007006219,0.390780661,KIF18B,NO
A0A494BZV2,0.000458534,0.824117523,MPRIP,NO
A0A494BZZ8,0.010124171,-0.162333658,TMEM87B,NO
A0A494C050,0.002948019,-1.137096632,NKAP,NO
A0A494C0C4,0.006164243,-0.598592905,ZC3H11B,NO
A0A494C0R8,0.004640339,0.397836316,CLUH,NO
A0A494C0S5,0.705085999,-0.033503508,WAC,NO
A0A494C0W0,0.032809498,-0.139570652,PARN,NO
A0A494C0X0,0.152321337,0.097189297,TBCB,NO
A0A494C0Z5,0.023249994,-0.188469437,RAB33B,NO
A0A494C105,0.03646771,-0.29995867,MFSD1,NO
A0A494C108,0.017547087,0.195224186,KRI1,NO
A0A494C1K7,0.000319444,1.280075639,PRKAG2,NO
A0A494C1L5,0.01084641,0.227171818,LRBA,NO
A0A494C1M4,0.002971588,2.047921089,ALDH1L2,NO
A0A494C1T9,0.116807215,-0.122717563,FAM83H,NO
A0A499FI31,0.038213879,-0.016643978,SART3,NO
A0A499FI48,0.08345801,-0.46344919,PDIA4,NO
A0A499FIZ0,0.01333971,0.296219541,WDR26,NO
A0A499FJY3,0.053596307,-0.153565527,RBM15,NO
A0A590TQL1,0.93669797,-0.010829489,ACD,NO
A0A590UJ40,0.612428891,-0.054595812,MYO6,NO
A0A590UJF2,0.607674364,0.04169322,POT1,NO
A0A590UJG2,5.65E-05,1.292380165,MACF1,YES
A0A590UJK3,0.006715433,0.299876604,SLMAP,NO
A0A590UJQ1,0.007049067,0.268844427,ITCH,NO
A0A590UJS4,0.012917341,-0.536700032,NIPBL,NO
A0A590UK80,0.008413266,-0.642450075,,NO
A0A5F9UP49,0.025667057,-0.334378347,SDF4,NO
A0A5F9UQ55,0.001368142,-0.764827804,FBXW4,NO
A0A5F9YFS9,0.409748772,-0.032573486,SPCS1,NO
A0A5F9ZH79,0.636674571,0.017534511,ASCC1,NO
A0A5F9ZHB6,0.009927929,0.378407966,PRIM1,NO
A0A5F9ZHD4,0.107505777,0.41360206,ACAT1,NO
A0A5F9ZHH6,0.007380554,-0.630808441,RXRA,NO
A0A5F9ZHN5,0.013363664,0.396541637,ANK2,NO
A0A5F9ZHN7,0.012057668,-0.521022993,SACM1L,NO
A0A5F9ZHW5,0.003038947,1.0535359,ATXN2,NO
A0A5H1ZRP4,0.050195898,0.074925125,NELFB,NO
A0A5H1ZRP8,0.002815059,1.514519225,DMD,NO
A0A5H1ZRQ2,0.349896381,0.039075435,DDX17,NO
A0A5H1ZRS1,0.014411436,-0.148817347,PCM1,NO
A0A5K1VW50,0.043970727,-0.36844048,VDR,NO
A0A5K1VW74,0.001237701,0.881993285,AKT3,NO
A0A669KAV0,0.381207446,-0.05568873,CRELD1,NO
A0A669KB89,0.031130352,-0.119023906,SCRIB,NO
A0A669KBG4,0.000614475,-0.509535306,WIZ,NO
A0A669KBH7,0.00447711,-1.160407806,DUS4L-BCAP29,NO
A0A669KBH9,0.009543404,-0.523160985,WIZ,NO
A0A669KBI3,0.002519293,0.355628102,AFF1,NO
A0A6E1XE14,0.008720433,-0.949432498,TFAP2A,NO
A0A6I8PIV1,0.005392822,0.320021501,LARS1,NO
A0A6I8PIX7,0.001756485,-0.739217103,SVIL,NO
A0A6I8PL80,0.012912727,0.272334439,GNL3L,NO
A0A6I8PLD9,0.014794759,0.364969636,KRTCAP2,NO
A0A6I8PRA0,0.011849676,0.351748011,TCOF1,NO
A0A6I8PRJ0,0.004846862,0.692549568,ADGRL2,NO
A0A6I8PRS5,0.033972896,0.333939469,GPATCH11,NO
A0A6I8PRU0,0.005684652,-0.485344354,CELSR1,NO
A0A6Q8KRG2,0.009362942,-0.868131015,GOLGA2,NO
A0A6Q8PF18,0.602050023,-0.044127803,,NO
A0A6Q8PFA6,0.21644259,-0.017377201,KIF2A,NO
A0A6Q8PFI7,0.004406684,0.71138225,NEDD4L,NO
A0A6Q8PFJ0,0.215734129,-0.083801311,LMNA,NO
A0A6Q8PFJ4,0.004092454,-0.241729892,MFN2,NO
A0A6Q8PFL5,0.877348821,0.008664331,LRSAM1,NO
A0A6Q8PFQ0,0.002376937,-0.722625839,SIPA1L2,NO
A0A6Q8PGB1,0.021342213,0.70624975,CEP290,NO
A0A6Q8PGN3,0.00182699,-0.715282384,INF2,NO
A0A6Q8PGR8,0.091381035,0.32627688,LCOR,NO
A0A6Q8PGS2,0.008371968,-1.052202474,GDAP1,NO
A0A6Q8PH03,0.012057668,0.771056684,CEP41,NO
A0A6Q8PH31,0.007261135,0.815268898,HNRNPR,NO
A0A6Q8PH91,0.006542183,-0.780723629,MACROD1,NO
A0A6Q8PHA5,0.125156915,0.116742617,HARS1,NO
A0A6Q8PHF8,0.001616744,0.357312655,SLC52A2,NO
A0A6Q8PHK0,0.009198775,-0.673834404,TRIP12,NO
A0A6Q8PHP0,0.001566013,1.018401529,NT5C2,NO
A0A6Q8PHP8,0.6332722,-0.057027199,SBF2,NO
A0A7I2RK03,0.016995961,0.384534196,LRRC8B,NO
A0A7I2RVZ4,0.001914719,-0.375388715,PTBP2,NO
A0A7I2SU25,0.002806004,1.15764935,GNE,NO
A0A7I2U302,0.007409576,1.582153632,MME,NO
A0A7I2V2B0,0.523715089,-0.058613023,SLC9A6,NO
A0A7I2V2U6,0.041204847,-0.150105417,MTHFD2,NO
A0A7I2V2Y9,0.002403909,-1.41781776,ACBD5,NO
A0A7I2V383,0.336578264,0.031665143,BCL2L2-PABPN1,NO
A0A7I2V3F3,0.00037203,-0.280064993,NCL,NO
A0A7I2V3R9,0.060627251,-0.249635451,PSEN2,NO
A0A7I2V409,0.15218649,-0.079308128,MARK3,NO
A0A7I2V490,0.001999897,0.277647351,DNMT1,NO
A0A7I2V492,0.017999977,0.266587983,KIF5C,NO
A0A7I2V4F0,0.007970762,0.274360653,DDX1,NO
A0A7I2V4G0,0.193273607,0.125254971,HNRNPA3,NO
A0A7I2V4V1,0.194389431,-0.192850515,PPIA,NO
A0A7I2V4W4,0.357338084,-0.053275022,TBK1,NO
A0A7I2V539,0.000424056,1.127612878,NMT1,NO
A0A7I2V597,0.000615165,0.468390618,BCL2L1,NO
A0A7I2V5Q5,0.108196868,-0.135700299,PPIG,NO
A0A7I2V5Q7,0.004692327,-1.316558689,BCL2,NO
A0A7I2V5R1,0.003163114,0.658986044,NEK9,NO
A0A7I2V5U0,0.009461975,-1.131168641,ABCA1,NO
A0A7I2V5Y5,0.673261401,-0.019310001,KIF23,NO
A0A7I2V5Y7,0.023414628,-0.314888309,NONO,NO
A0A7I2V5Z3,0.005770867,0.529211721,SGTA,NO
A0A7I2V5Z4,0.305322807,0.044998187,SCFD1,NO
A0A7I2YQ75,0.048987555,0.313495058,USP40,NO
A0A7I2YQ88,0.007451476,0.27748515,PABPC1,NO
A0A7I2YQF8,0.002756925,0.511742542,EIF3I,NO
A0A7I2YQG2,0.270584229,0.038334776,RPL19,NO
A0A7I2YQJ3,0.006832625,-0.189841633,SPECC1,NO
A0A7I2YQN2,0.131891982,0.083226472,SYNCRIP,NO
A0A7I2YQU3,0.04744332,0.320244496,ZFYVE26,NO
A0A7I2YQW9,0.028502836,0.646440613,ABHD17A,NO
A0A7N4YH79,0.026118008,0.180114915,TENT4B,NO
A0A7P0MRI8,7.64E-05,1.669991283,PLCB4,YES
A0A7P0RGI5,0.168623214,0.369135264,ST3GAL4,NO
A0A7P0T865,0.00134004,0.33285328,TBC1D20,NO
A0A7P0T887,0.023797453,-0.415360296,C1orf174,NO
A0A7P0T890,0.000109295,1.096709994,DST,NO
A0A7P0T8D4,0.002008897,1.113431203,SNX9,NO
A0A7P0T8N6,0.068751992,0.10289047,VLDLR,NO
A0A7P0T8N8,0.007359328,-0.269028645,TCERG1,NO
A0A7P0T8X6,0.247381064,0.089187037,TCTN3,NO
