Accession,pvalue,log2FC,Gene,Label
Q9BXJ9,0.000560926,1.470295384,NAA15,NO
Q9BXK1,0.076880839,0.122532811,KLF16,NO
Q9BXK5,0.005684652,0.441178161,BCL2L13,NO
Q9BXL6,0.009734908,1.150803481,CARD14,NO
Q9BXM9,0.059362652,-0.392896351,FSD1L,NO
Q9BXP2,0.00501619,-1.294280356,SLC12A9,NO
Q9BXP5,0.005841003,-0.491834656,SRRT,NO
Q9BXR0,0.004351606,0.362040263,QTRT1,NO
Q9BXS4,0.097602061,0.186352294,TMEM59,NO
Q9BXS5,0.032546914,0.277499567,AP1M1,NO
Q9BXS6,0.001166133,-0.572839735,NUSAP1,NO
Q9BXS9,0.017049096,-0.599031782,SLC26A6,NO
Q9BXV9,0.368191171,0.08825164,GON7,NO
Q9BXW7,0.004813965,-0.274168184,HDHD5,NO
Q9BXW9,0.001847438,-0.791184448,FANCD2,NO
Q9BXY0,0.113026504,-0.095164485,MAK16,NO
Q9BY32,0.002129112,0.888046906,ITPA,NO
Q9BY44,0.007148144,0.229348327,EIF2A,NO
Q9BY49,0.010869051,-0.863879626,PECR,NO
Q9BY66,0.02982683,-0.341802797,KDM5D,NO
Q9BY67,0.00123358,-1.61968264,CADM1,NO
Q9BY77,0.013540767,0.246493297,POLDIP3,NO
Q9BY89,0.006598791,0.431070705,KIAA1671,NO
Q9BYB4,0.004721014,0.48358247,GNB1L,NO
Q9BYC5,0.007715953,-1.327228886,FUT8,NO
Q9BYC8,0.02982683,-0.219357191,MRPL32,NO
Q9BYC9,0.019736386,-0.459372198,MRPL20,NO
Q9BYD1,0.011549456,-0.316754301,MRPL13,NO
Q9BYD2,0.038303645,-0.257230124,MRPL9,NO
Q9BYD3,0.004884064,-0.289862664,MRPL4,NO
Q9BYD6,0.176956821,-0.0977993,MRPL1,NO
Q9BYE7,0.000266911,-0.836835776,PCGF6,NO
Q9BYG3,0.121185829,0.089935946,NIFK,NO
Q9BYG5,0.005390399,-0.905743032,PARD6B,NO
Q9BYJ9,0.856282455,-0.007642473,YTHDF1,NO
Q9BYK8,0.002689175,-0.597966903,HELZ2,NO
Q9BYM8,0.001947069,-0.389786612,RBCK1,NO
Q9BYN0,0.020143262,0.403572714,SRXN1,NO
Q9BYN8,0.019691433,-0.40988782,MRPS26,NO
Q9BYP7,0.001928265,0.810437017,WNK3,NO
Q9BYT8,0.009346888,-0.258693025,NLN,NO
Q9BYW2,0.001025389,-0.442613036,SETD2,NO
Q9BYX2,0.003567245,0.841241033,TBC1D2,NO
Q9BYX4,0.803126268,0.035586029,IFIH1,NO
Q9BYX7,0.025289895,0.753054406,POTEKP,NO
Q9BZ23,0.003043322,0.794548054,PANK2,NO
Q9BZ67,0.088964281,0.235369478,FRMD8,NO
Q9BZ95,0.054421956,-0.118610268,NSD3,NO
Q9BZD4,0.036395413,0.270710514,NUF2,NO
Q9BZE1,0.018760707,-0.49200518,MRPL37,NO
Q9BZE2,0.105339754,0.637662595,PUS3,NO
Q9BZE4,0.094277637,0.117357354,GTPBP4,NO
Q9BZE9,0.126638777,0.120177198,ASPSCR1,NO
Q9BZF1,0.040375212,-0.190873093,OSBPL8,NO
Q9BZF9,0.000416292,0.578658264,UACA,NO
Q9BZG1,0.000352602,1.108886204,RAB34,NO
Q9BZG8,0.002065428,0.492591087,DPH1,NO
Q9BZH6,0.017286157,-0.313478189,WDR11,NO
Q9BZI7,0.005306187,0.245232905,UPF3B,NO
Q9BZJ0,0.003715077,-0.571147748,CRNKL1,NO
Q9BZJ4,0.012444584,-0.313144151,SLC25A39,NO
Q9BZK7,0.216547385,0.026652112,TBL1XR1,NO
Q9BZL1,0.000606329,-0.74692707,UBL5,NO
Q9BZL4-4,0.007582017,-0.634616332,PPP1R12C,NO
Q9BZL6,0.043073672,-0.295053579,PRKD2,NO
Q9BZM4,0.018372686,0.907800677,ULBP3,NO
Q9BZM5,0.00131493,0.636934589,ULBP2,NO
Q9BZQ6,0.016155642,-0.522582969,EDEM3,NO
Q9BZQ8,0.000424056,1.871709149,NIBAN1,NO
Q9BZV1,0.000399063,0.568045495,UBXN6,NO
Q9BZZ5,0.002589839,0.187645238,API5,NO
Q9BZZ5-2,0.031870972,0.284994125,API5,NO
Q9C005,0.002982484,-0.230959054,DPY30,NO
Q9C037,0.015761965,-0.286271378,TRIM4,NO
Q9C086,0.701040872,0.044900502,INO80B,NO
Q9C0A6,0.001709159,0.36212888,SETD5,NO
Q9C0B0,0.000518202,0.727224096,UNK,NO
Q9C0B1,0.05269805,-0.164353784,FTO,NO
Q9C0B5,0.000963323,0.95649829,ZDHHC5,NO
Q9C0B7,0.922530574,0.006337274,TANGO6,NO
Q9C0C2,0.000702218,0.835273199,TNKS1BP1,NO
Q9C0C4,0.003571994,-1.258295058,SEMA4C,NO
Q9C0C9,0.02780793,-0.121322089,UBE2O,NO
Q9C0D5,0.002350453,0.525098452,TANC1,NO
Q9C0E2,0.027341215,-0.086565493,XPO4,NO
Q9C0E8,0.11129384,-0.158744268,LNPK,NO
Q9C0F1,0.014533477,0.582756383,CEP44,NO
Q9C0H2,0.077153882,-0.39428069,TTYH3,NO
Q9C0H5,0.026193273,0.23410813,ARHGAP39,NO
Q9C0I1,0.318951926,-0.129095277,MTMR12,NO
Q9C0J8,0.04886809,-0.182078787,WDR33,NO
Q9GZL7,0.025154594,-0.274150678,WDR12,NO
Q9GZM5,0.008864332,-1.261131034,YIPF3,NO
Q9GZN1,0.064837414,-0.2523959,ACTR6,NO
Q9GZN2,0.169082968,-0.118081463,TGIF2,NO
Q9GZN7,0.006805337,-0.463973232,ROGDI,NO
Q9GZN8,0.002889453,0.622399823,C20orf27,NO
Q9GZP4,0.030322896,-0.100989457,PITHD1,NO
Q9GZP8,0.018420364,1.107862787,IMUP,NO
Q9GZP9,0.013408433,-0.493721194,DERL2,NO
Q9GZQ3,0.018476119,0.458933059,COMMD5,NO
Q9GZQ8,0.349896381,0.085191285,MAP1LC3B,NO
Q9GZR2,0.695836829,0.017354119,REXO4,NO
Q9GZR7,0.002806004,-0.41329749,DDX24,NO
Q9GZS1,0.035631516,-0.151533562,POLR1E,NO
Q9GZS3,0.027274819,0.089492302,WDR61,NO
Q9GZT3,0.017642188,-0.426995454,SLIRP,NO
Q9GZT4,0.004302594,-0.591146586,SRR,NO
Q9GZT6,0.001770895,0.813044768,CCDC90B,NO
Q9GZT8,0.330081171,-0.052052637,NIF3L1,NO
Q9GZT9,0.001346984,0.943777392,EGLN1,NO
Q9GZU3,0.00569402,0.305959656,TMEM39B,NO
Q9GZU7,0.005302209,-0.169733702,CTDSP1,NO
Q9GZU8,0.755402605,0.0213554,PSME3IP1,NO
Q9GZV4,0.004441192,1.289585773,EIF5A2,NO
Q9GZX9,0.001109457,0.707490702,TWSG1,NO
Q9GZY4,0.02249671,-0.414226459,COA1,NO
Q9GZY8-2,0.04727543,-0.247884665,MFF,NO
Q9GZZ9,0.002176691,0.657346974,UBA5,NO
Q9H000,0.011595001,0.423763104,MKRN2,NO
Q9H008,0.009574498,-0.597420071,LHPP,NO
Q9H019,0.018562162,-0.506913954,MTFR1L,NO
Q9H061,0.058638205,-0.209698468,TMEM126A,NO
Q9H074,0.053218036,-0.286812889,PAIP1,NO
Q9H078-2,0.002083481,-0.613398155,CLPB,NO
Q9H081,0.011857167,-0.100207724,MIS12,NO
Q9H089,0.813196767,0.00694096,LSG1,NO
Q9H098,0.008229792,-1.033519192,FAM107B,NO
Q9H0A0,0.065549672,-0.169818534,NAT10,NO
Q9H0A8,0.523732094,0.031107543,COMMD4,NO
Q9H0B6,0.081049961,0.135674194,KLC2,NO
Q9H0C5,0.007422409,0.610317869,BTBD1,NO
Q9H0C8,0.013250112,0.392534275,ILKAP,NO
Q9H0D6,0.002515969,-0.232970337,XRN2,NO
Q9H0E2,0.000416292,0.658686942,TOLLIP,NO
Q9H0F6,0.131504307,0.111162195,SHARPIN,NO
Q9H0H5,0.035046577,-0.227701885,RACGAP1,NO
Q9H0J9,0.364667726,0.041380288,PARP12,NO
Q9H0K6,0.006508939,0.472052508,PUS7L,NO
Q9H0L4,0.004101405,0.633148837,CSTF2T,NO
Q9H0M0,0.002314378,0.365844378,WWP1,NO
Q9H0N5,0.006509324,-0.787969471,PCBD2,NO
Q9H0R6,0.091695145,-0.127422925,QRSL1,NO
Q9H0S4,0.03711835,-0.16039257,DDX47,NO
Q9H0T7,0.004672228,-1.410674825,RAB17,NO
Q9H0U3,0.008413266,-0.703018487,MAGT1,NO
Q9H0U4,0.000186723,-0.76360079,RAB1B,NO
Q9H0U6,0.02624711,-0.305294963,MRPL18,NO
Q9H0U9,0.004521937,-1.382434741,TSPYL1,NO
Q9H0V9,0.00104286,0.592021346,LMAN2L,NO
Q9H0W8,0.018405506,0.407461717,SMG9,NO
Q9H0X4,0.029408463,-0.56477187,FAM234A,NO
Q9H0X9,0.045027396,0.210681891,OSBPL5,NO
Q9H147,0.006578592,-1.009727185,DNTTIP1,NO
Q9H173,0.0376017,-0.218095936,SIL1,NO
Q9H1A3,0.008238515,-0.815248818,METTL9,NO
Q9H1A4,0.19160945,-0.064582257,ANAPC1,NO
Q9H1B5,0.029603975,-0.377950592,XYLT2,NO
Q9H1B7,0.001619243,-0.915018386,IRF2BPL,NO
Q9H1C4,0.000545797,-1.116852065,UNC93B1,NO
Q9H1D9,0.466483448,-0.035582172,POLR3F,NO
Q9H1E3,0.020753585,-1.087542593,NUCKS1,NO
Q9H1E5,0.00903405,-0.299635123,TMX4,NO
Q9H1I8,0.01289343,-0.256448263,ASCC2,NO
Q9H1K0,0.055460033,-0.190278229,RBSN,NO
Q9H1K1,0.285622895,0.063405065,ISCU,NO
Q9H1P3,0.004212596,-0.655012227,OSBPL2,NO
Q9H1X3,0.080845349,-0.194557007,DNAJC25,NO
Q9H1Y0,0.001580046,0.559119423,ATG5,NO
Q9H1Z4,0.011211429,0.427977846,WDR13,NO
Q9H201,0.001578397,-0.85882697,EPN3,NO
Q9H204,0.003003666,0.58164566,MED28,NO
Q9H211,0.001355658,-0.51523687,CDT1,NO
Q9H223,0.03879293,0.121045768,EHD4,NO
Q9H246,0.01230121,-0.774557512,C1orf21,NO
Q9H267,0.025252755,-0.233173414,VPS33B,NO
Q9H269,0.830202026,0.012110111,VPS16,NO
Q9H2C0,0.003764762,-1.04151723,GAN,NO
Q9H2C2,0.115252912,-0.339412521,ARV1,NO
Q9H2D1,0.010044481,-0.437816045,SLC25A32,NO
Q9H2D6,0.000615165,0.574082032,TRIOBP,NO
Q9H2F5,0.094379741,-0.107953298,EPC1,NO
Q9H2G2,0.001884022,0.426828091,SLK,NO
Q9H2G2-2,0.000464097,1.365613619,SLK,NO
Q9H2G9,0.026248486,0.113622651,BLZF1,NO
Q9H2H8,0.009287788,0.369458642,PPIL3,NO
Q9H2H9,0.01225458,-0.211340859,SLC38A1,NO
Q9H2J4,0.023789957,0.330743185,PDCL3,NO
Q9H2J7,0.004252463,1.129272416,SLC6A15,NO
Q9H2K0,0.031078364,-0.411135877,MTIF3,NO
Q9H2K8,0.119699942,-0.30290621,TAOK3,NO
Q9H2M9,0.000836398,0.619354791,RAB3GAP2,NO
Q9H2P0,0.006476459,-0.786105971,ADNP,NO
Q9H2P9,0.002415188,1.262832058,DPH5,NO
Q9H2U1,0.003258884,0.146976545,DHX36,NO
Q9H2U2,0.003022143,-0.807719828,PPA2,NO
Q9H2V7,0.023477865,-0.208991976,SPNS1,NO
Q9H2W6,0.054802359,-0.249980084,MRPL46,NO
Q9H2Y7,0.105957854,-0.199165857,ZNF106,NO
Q9H307,0.012972874,-0.499436097,PNN,NO
Q9H329,0.002271673,-0.967927785,EPB41L4B,NO
Q9H330,0.274012819,-0.059935426,TMEM245,NO
Q9H361,0.025526336,0.336161893,PABPC3,NO
Q9H3C7,0.034301939,0.383756661,GGNBP2,NO
Q9H3F6,0.066947588,0.206165603,KCTD10,NO
Q9H3G5,0.003710833,1.59702935,CPVL,NO
Q9H3H1,0.035678182,-0.259949618,TRIT1,NO
Q9H3H3,0.002922181,0.647623803,C11orf68,NO
Q9H3H5,0.125630792,-0.090004641,DPAGT1,NO
Q9H3K2,0.011834786,-0.756749789,GHITM,NO
Q9H3K6,0.601033166,0.0226195,BOLA2,NO
Q9H3L0,0.457672616,0.057628799,MMADHC,NO
Q9H3M7,0.000908616,0.355377291,TXNIP,NO
Q9H3N1,0.027683915,-0.189969452,TMX1,NO
Q9H3P7,0.040811791,0.054126459,ACBD3,NO
Q9H3Q1,0.002612892,0.477314253,CDC42EP4,NO
Q9H3S7,0.00322144,0.279290703,PTPN23,NO
Q9H3Z4,0.001391834,-0.543104885,DNAJC5,NO
Q9H410,0.019987295,-0.130710208,DSN1,NO
Q9H425,0.013692502,-0.269357809,C1orf198,NO
Q9H444,0.197697842,0.088832038,CHMP4B,NO
Q9H446,0.003995347,0.56237713,RWDD1,NO
Q9H467,0.033951592,-0.488445808,CUEDC2,NO
Q9H479,0.361178501,0.03893447,FN3K,NO
Q9H488,0.002499138,0.375578215,POFUT1,NO
Q9H490,0.010955782,0.285134601,PIGU,NO
Q9H497,0.015712402,-0.839474422,TOR3A,NO
Q9H4A4,0.015141075,-0.748903631,RNPEP,NO
Q9H4A5,0.003995347,-0.546304008,GOLPH3L,NO
Q9H4A6,0.00037203,-0.857930827,GOLPH3,NO
Q9H4B0,0.934241318,0.009354187,OSGEPL1,NO
Q9H4B6,0.000871573,0.817466224,SAV1,NO
Q9H4E7,0.002934507,1.393138715,DEF6,NO
Q9H4G0-4,0.00037203,-0.572004996,EPB41L1,NO
Q9H4G4,0.002508628,0.752116155,GLIPR2,NO
Q9H4I2,0.129218838,-0.062483878,ZHX3,NO
Q9H4I9,0.166729494,0.202069092,SMDT1,NO
Q9H4K7,0.098066719,-0.259312441,MTG2,NO
Q9H4L4,0.02319338,-0.316500766,SENP3,NO
Q9H4L5,0.002566198,1.265131572,OSBPL3,NO
Q9H4L7-2,0.002599193,0.566858182,SMARCAD1,NO
Q9H4P4,0.001135036,0.438350071,RNF41,NO
Q9H4Z3,0.00575573,-0.445034638,PCIF1,NO
Q9H501,0.031605178,-0.364558716,ESF1,NO
Q9H553,0.034518453,-0.285620089,ALG2,NO
Q9H582,0.044096574,0.359366465,ZNF644,NO
Q9H583,0.458543356,0.037915011,HEATR1,NO
Q9H5H4,0.003681647,-0.525826873,ZNF768,NO
Q9H5I1,0.839840639,-0.041318954,SUV39H2,NO
Q9H5K3,0.008889375,0.173686149,POMK,NO
Q9H5N1,0.016894065,-0.446509974,RABEP2,NO
Q9H5Q4,0.015594613,0.244560251,TFB2M,NO
Q9H5V7,0.077235874,-0.143636991,IKZF5,NO
Q9H5V9,0.011638891,-0.447690597,STEEP1,NO
Q9H617,0.002887654,-4.432611843,TMEM164,NO
Q9H649,0.028049517,-0.221179305,NSUN3,NO
Q9H668,0.040386855,0.338687816,STN1,NO
Q9H6A0-2,0.003740047,-0.753784402,DENND2D,NO
Q9H6A9,0.008143397,-0.319565114,PCNX3,NO
Q9H6D7,0.002346402,0.34663237,HAUS4,NO
Q9H6E4,0.005609322,0.606727651,CCDC134,NO
Q9H6F5,0.134020515,-0.076464818,CCDC86,NO
Q9H6H4,0.011502823,-0.112188959,REEP4,NO
Q9H6K4,0.005928942,-0.798987456,OPA3,NO
Q9H6K5,0.24928297,0.133443879,PRR36,NO
Q9H6P5,0.004067514,-0.618785536,TASP1,NO
Q9H6Q4,0.061257529,0.290756768,CIAO3,NO
Q9H6R0,0.440999918,-0.037925593,DHX33,NO
Q9H6R4,0.157745224,-0.108881622,NOL6,NO
Q9H6R7,0.002463349,1.621443282,WDCP,NO
Q9H6S0,0.001495696,0.687295849,YTHDC2,NO
Q9H6S1,0.029988799,0.56434205,AZI2,NO
Q9H6S3,0.035425575,-0.448619336,EPS8L2,NO
Q9H6T0-2,0.001533934,-1.249000512,ESRP2,NO
Q9H6T3,0.012480666,0.357552928,RPAP3,NO
Q9H6U6-7,0.00908339,0.452555326,BCAS3,NO
Q9H6U8,0.05126242,-0.178772997,ALG9,NO
Q9H6W3,0.001676808,-0.787417575,RIOX1,NO
Q9H6X2,0.001374449,0.528982628,ANTXR1,NO
Q9H6X4,0.00293363,-0.651098483,TMEM134,NO
Q9H6Y2,0.557780181,-0.053835453,WDR55,NO
Q9H6Y7,0.016324878,-0.344333635,RNF167,NO
Q9H773,0.014260649,-0.640354824,DCTPP1,NO
Q9H788,0.071979859,0.17987607,SH2D4A,NO
Q9H792,0.003483357,0.719065062,PEAK1,NO
Q9H7B2,0.088824242,-0.227577249,RPF2,NO
Q9H7B4,0.962685806,0.009379794,SMYD3,NO
Q9H7D0,0.754294264,-0.033768392,DOCK5,NO
Q9H7E2,0.130614621,0.437233311,TDRD3,NO
Q9H7F0,0.015846964,0.052234491,ATP13A3,NO
Q9H7H0,0.783377894,-0.022414236,METTL17,NO
Q9H7L9,0.048939413,-0.171063289,SUDS3,NO
Q9H7N4,0.013034472,-0.605560521,SCAF1,NO
Q9H7P9,0.913335185,0.015548593,PLEKHG2,NO
Q9H7S9,0.005785495,-1.339630135,ZNF703,NO
Q9H7X3,0.013995428,0.447481167,ZNF696,NO
Q9H7X7,0.148065804,0.403136452,IFT22,NO
Q9H7Z3,0.037357058,-0.236561922,NRDE2,NO
Q9H7Z6,0.287356751,0.039668631,KAT8,NO
Q9H7Z7,0.000745237,-0.658124595,PTGES2,NO
Q9H813,0.011077009,0.759684434,PACC1,NO
Q9H814,0.003831563,0.195594275,PHAX,NO
Q9H816,0.006985834,-0.909823311,DCLRE1B,NO
Q9H832,0.658182125,-0.049490165,UBE2Z,NO
Q9H845,0.020302221,-0.33700149,ACAD9,NO
Q9H857-2,0.900156371,-0.00626358,NT5DC2,NO
Q9H871,0.093183688,0.234098241,RMND5A,NO
Q9H875,0.007500971,-0.488553347,PRKRIP1,NO
Q9H8G2,0.005390399,-0.173201393,CAAP1,NO
Q9H8H0,0.096637899,-0.076438444,NOL11,NO
Q9H8H2,0.365342799,0.034697747,DDX31,NO
Q9H8M2,0.008226776,-0.339931866,BRD9,NO
Q9H8M7,0.003437551,0.684402771,MINDY3,NO
Q9H8P0,0.0157705,-0.400806394,SRD5A3,NO
Q9H8T0,0.047172831,-0.370831531,AKTIP,NO
Q9H8V3,0.127067646,-0.042373943,ECT2,NO
Q9H8W4,0.003003666,-0.549261708,PLEKHF2,NO
Q9H8Y5,0.42711949,-0.06963499,ANKZF1,NO
Q9H8Y8,0.002082362,-0.503333973,GORASP2,NO
Q9H900,0.06421375,0.151378672,ZWILCH,NO
Q9H910,0.653048431,0.023810747,JPT2,NO
Q9H910-2,0.091739213,0.162711704,JPT2,NO
Q9H920,0.002212657,-0.621624472,RNF121,NO
Q9H930,0.084532395,0.059416324,SP140L,NO
Q9H936,0.022352366,0.262802554,SLC25A22,NO
Q9H944,0.002197481,0.301945531,MED20,NO
Q9H967,0.005515188,0.28770881,WDR76,NO
Q9H974,0.000545797,0.323934104,QTRT2,NO
Q9H981,0.002425537,0.269839947,ACTR8,NO
Q9H993,0.041364448,-1.030948211,ARMT1,NO
Q9H9A5,0.232127564,0.075508896,CNOT10,NO
Q9H9A6,0.004258459,0.44312981,LRRC40,NO
Q9H9A7,0.221662906,-0.077907489,RMI1,NO
Q9H9B1,0.001962949,-0.908671222,EHMT1,NO
Q9H9B4,0.018304892,-0.537123778,SFXN1,NO
Q9H9F9,0.383789505,-0.065873874,ACTR5,NO
Q9H9G7,0.194537456,0.090834865,AGO3,NO
Q9H9H4,0.00154377,0.989472469,VPS37B,NO
Q9H9J2,0.025369044,-0.330174602,MRPL44,NO
Q9H9J4,0.621344305,-0.027175512,USP42,NO
Q9H9L3,0.004180676,-0.26679249,ISG20L2,NO
Q9H9L4,0.34926513,-0.428044447,KANSL2,NO
Q9H9P8,0.002499138,-0.751912559,L2HGDH,NO
Q9H9Q2,0.007466191,0.443311493,COPS7B,NO
Q9H9Q4,0.18551198,0.228706656,NHEJ1,NO
Q9H9S3,0.295120674,-0.095783101,SEC61A2,NO
Q9H9S4,0.003846858,-0.731128548,CAB39L,NO
Q9H9S5,0.003639586,1.13524903,FKRP,NO
Q9H9T3,0.002230898,0.437458656,ELP3,NO
Q9H9Y2,0.236027369,-0.069145759,RPF1,NO
Q9H9Y6,0.228697062,0.071258666,POLR1B,NO
Q9HA47,0.01461058,0.223840076,UCK1,NO
Q9HA64,0.054068004,-0.211760952,FN3KRP,NO
Q9HA65,0.073318866,0.210181708,TBC1D17,NO
Q9HA77,0.39998637,-0.045107474,CARS2,NO
Q9HA92,0.196511378,-0.074204539,RSAD1,NO
Q9HAB8,0.068931042,-0.400149284,PPCS,NO
Q9HAC8,0.002948019,0.721642366,UBTD1,NO
Q9HAD4,0.009231606,0.406542818,WDR41,NO
Q9HAF1,0.014716956,-0.541485274,MEAF6,NO
Q9HAJ7,0.079041809,-0.167599052,SAP30L,NO
Q9HAN9,0.011922863,0.265337403,NMNAT1,NO
Q9HAS0,0.037769233,0.23211585,C17orf75,NO
Q9HAT2,0.008590461,-1.157694136,SIAE,NO
Q9HAU0,0.000333879,1.040726976,PLEKHA5,NO
Q9HAU4,0.010302297,0.603426391,SMURF2,NO
Q9HAU5,0.00305523,0.198123436,UPF2,NO
Q9HAV0,0.000537585,1.127222294,GNB4,NO
Q9HAV4,0.085288591,0.143222609,XPO5,NO
Q9HAV7,0.058079545,-0.23462175,GRPEL1,NO
Q9HAW4,0.083297279,0.121935511,CLSPN,NO
Q9HB07,0.003970344,0.444688148,MYG1,NO
Q9HB09,0.009017919,-0.295661473,BCL2L12,NO
Q9HB20,0.003150649,-0.523624265,PLEKHA3,NO
Q9HB21,0.00319915,-0.355698168,PLEKHA1,NO
Q9HB40,0.0063228,-0.795100373,SCPEP1,NO
Q9HB58,0.009324145,-0.93395492,SP110,NO
Q9HB66,0.607589615,-0.031027511,MKKS,NO
Q9HB71,0.236220592,0.128097746,CACYBP,NO
Q9HB90,0.006751392,0.517095411,RRAGC,NO
Q9HBD4,0.001376139,-0.448701581,SMARCA4,NO
Q9HBE1,0.006882826,-0.532683932,PATZ1,NO
Q9HBG4,0.002012435,0.727192814,ATP6V0A4,NO
Q9HBG6,0.083125313,0.281082757,IFT122,NO
Q9HBH0,0.001528798,0.454641754,RHOF,NO
Q9HBH1,0.129653752,-0.1010592,PDF,NO
Q9HBH5,0.019620636,-0.215451572,RDH14,NO
Q9HBI0,0.004046984,1.162300591,PARVG,NO
Q9HBI1,0.001787256,1.659879081,PARVB,NO
Q9HBI6,0.000605427,-1.786633979,CYP4F11,NO
Q9HBL7,0.002922181,0.475545785,PLGRKT,NO
Q9HBL8,0.007491555,-1.386862891,NMRAL1,NO
Q9HBM0,0.575214107,0.026659408,VEZT,NO
Q9HBM1,0.418350503,0.045539953,SPC25,NO
Q9HBM6,0.001625733,-0.478519014,TAF9B,NO
Q9HBR0,0.001320985,-1.266171115,SLC38A10,NO
Q9HC07,0.065814925,-0.134469349,TMEM165,NO
Q9HC16,0.000367124,1.368218136,APOBEC3G,NO
Q9HC21,0.064784522,0.122417542,SLC25A19,NO
Q9HC35,0.007970762,0.650650224,EML4,NO
Q9HC36,0.034223597,-0.248862642,MRM3,NO
Q9HC44,0.041071627,0.447873795,GPBP1L1,NO
Q9HC52,0.011747512,-0.789051499,CBX8,NO
Q9HC98,0.012444584,0.448468121,NEK6,NO
Q9HCC0,0.007783284,-0.956013797,MCCC2,NO
Q9HCD5,0.048285507,-0.274854528,NCOA5,NO
Q9HCD6,0.003419965,-0.267518404,TANC2,NO
Q9HCE1,0.003459007,-0.296183125,MOV10,NO
Q9HCE5,0.008685134,0.509538777,METTL14,NO
Q9HCG7,0.410056802,-0.092725673,GBA2,NO
Q9HCG8,0.093472656,0.108544428,CWC22,NO
Q9HCH0,0.003928598,0.568523632,NCKAP5L,NO
Q9HCI7,0.027973619,-0.434081174,MSL2,NO
Q9HCK8,0.463146174,0.020218915,CHD8,NO
Q9HCL2,0.019139639,-0.20971879,GPAM,NO
Q9HCM4,0.001390456,-0.530277531,EPB41L5,NO
Q9HCM4-2,0.00319915,-1.311818694,EPB41L5,NO
Q9HCN4,0.001443996,0.497628005,GPN1,NO
Q9HCN8,0.00880226,-0.792147837,SDF2L1,NO
Q9HCS7,0.021908012,0.105632747,XAB2,NO
Q9HCU4,0.001190112,-0.863823382,CELSR2,NO
Q9HCU5,0.009927929,-0.181133876,PREB,NO
Q9HCY8,0.00143317,-2.115763581,S100A14,NO
Q9HD15,0.158943601,0.149527551,SRA1,NO
Q9HD20,0.01911516,-0.263528283,ATP13A1,NO
Q9HD23,0.008761117,-0.358223556,MRS2,NO
Q9HD26,0.026597887,-0.116091,GOPC,NO
Q9HD33,0.019778947,-0.380541348,MRPL47,NO
Q9HD34,0.246173406,0.104611194,LYRM4,NO
Q9HD40,0.389056107,0.121285807,SEPSECS,NO
Q9HD45,0.01141679,-0.40938669,TM9SF3,NO
Q9HDC5,0.004729504,0.198798192,JPH1,NO
Q9HDC9,0.008222584,-0.553349514,APMAP,NO
Q9NP50,0.02142068,-0.249969867,SINHCAF,NO
Q9NP58,0.00399608,-0.79480049,ABCB6,NO
Q9NP61,0.000545797,1.008025358,ARFGAP3,NO
Q9NP64,0.356192494,-0.068654974,ZCCHC17,NO
Q9NP66,0.007464207,-0.724993858,HMG20A,NO
Q9NP72,0.007835899,-0.837082834,RAB18,NO
Q9NP73,0.027722256,-0.72600726,ALG13,NO
Q9NP77,0.553890473,-0.052843107,SSU72,NO
Q9NP84,0.004649267,1.353344031,TNFRSF12A,NO
Q9NP92,0.01818584,-0.416793777,MRPS30,NO
Q9NPA0,0.013238596,-0.732305011,EMC7,NO
Q9NPA8,0.05773604,-0.092615935,ENY2,NO
Q9NPB0,0.007052382,-1.212112122,SAYSD1,NO
Q9NPD3,0.001885408,0.264997072,EXOSC4,NO
Q9NPD8,0.043726143,-0.425996096,UBE2T,NO
Q9NPE2,0.956161807,0.003708965,NGRN,NO
Q9NPE3,0.031416911,-0.149754109,NOP10,NO
Q9NPF0,0.019912261,0.640905595,CD320,NO
Q9NPF4,0.001244326,1.379498167,OSGEP,NO
Q9NPF5,0.000981948,-0.407791632,DMAP1,NO
Q9NPG1,0.000348741,-1.508805011,FZD3,NO
Q9NPG3,0.004342381,-0.513600793,UBN1,NO
Q9NPG8,0.009714302,-0.160326434,ZDHHC4,NO
Q9NPH0,0.086960612,-0.149683665,ACP6,NO
Q9NPH2,0.009927929,0.338233236,ISYNA1,NO
Q9NPI1,0.010658652,-0.260179003,BRD7,NO
Q9NPI6,0.0020966,0.899065328,DCP1A,NO
Q9NPJ3,0.038682855,-0.156959444,ACOT13,NO
Q9NPJ6,0.070399744,-0.222936897,MED4,NO
Q9NPL8,0.042493726,-0.349602626,TIMMDC1,NO
Q9NPQ8-4,0.000462013,0.787287368,RIC8A,NO
Q9NPR9,0.008185519,-0.924640767,GPR108,NO
Q9NQ29,0.034597913,-0.042184489,LUC7L,NO
Q9NQ34,0.007667709,0.563092949,TMEM9B,NO
Q9NQ48,0.028443931,0.243628995,LZTFL1,NO
Q9NQ50,0.005115774,-0.339607724,MRPL40,NO
Q9NQ55,0.02327948,-0.345502325,PPAN,NO
Q9NQ66,0.002455851,-0.738111757,PLCB1,NO
Q9NQ84,0.009362942,-0.627669552,GPRC5C,NO
Q9NQ88,0.003212634,0.721114759,TIGAR,NO
Q9NQ92,0.008879493,0.54800272,COPRS,NO
Q9NQC3,0.008685134,0.687420213,RTN4,NO
Q9NQE9,0.001328093,-0.582168366,HINT3,NO
Q9NQG1,0.025037932,-0.627407273,MANBAL,NO
Q9NQG5,0.00571415,0.341275573,RPRD1B,NO
