Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
A0A1W2PRL5,A0A1W2PRL5_HUMAN,NECAP1,unreviewed,A0A1W2PRL5,24.91649871,27.51182923,26.19775116,24.16772861,25.33018968,27.52192982,0.688765275,0.7126584,-0.029777634
Q8IV32,CCD71_HUMAN,CCDC71,reviewed,Q8IV32,6.269578691,5.786259019,5.758456437,3.423681411,3.104025174,2.72575965,0.000483499,0.002516812,-0.944969533
Q6EEV6,SUMO4_HUMAN,SUMO4 SMT3H4,reviewed,Q6EEV6,35.78672978,37.38873078,37.74271301,56.5388287,60.34212718,65.32159362,0.008422816,0.015137645,0.716047381
Q5SVL2,Q5SVL2_HUMAN,CASP7,unreviewed,Q5SVL2,8.839598296,10.76213207,8.975674914,7.350656813,7.332342931,6.392318513,0.037343784,0.05137503,-0.439320514
Q16254,E2F4_HUMAN,E2F4,reviewed,Q16254,12.64068902,13.13651133,12.95302086,12.92856473,12.61774013,12.39808508,0.283005217,0.314608007,-0.029573142
Q12974,TP4A2_HUMAN,PTP4A2 PRL2 PTPCAAX2 BM-008,reviewed,Q12974,24.33903752,24.46642975,23.83883159,11.82901162,12.44054184,12.0314292,1.38E-06,0.000223258,-1.000840977
Q6NXT6,TAPT1_HUMAN,TAPT1 CMVFR,reviewed,Q6NXT6,7.059621755,6.356626211,6.678463116,2.468384538,2.068331735,2.037924577,0.000125503,0.001325988,-1.611831842
A0A7P0T8X6,A0A7P0T8X6_HUMAN,TCTN3,unreviewed,A0A7P0T8X6,21.41365718,19.68928192,20.32709878,22.58411568,22.41252823,20.35082283,0.218480065,0.247381064,0.089187037
Q9UFG5,CS025_HUMAN,C19orf25,reviewed,Q9UFG5,14.3825912,13.17522404,13.72436792,12.77148571,12.72161499,13.26498466,0.121822203,0.145679443,-0.091021964
O94952,FBX21_HUMAN,FBXO21 FBX21 KIAA0875,reviewed,O94952-1,29.06660445,34.45430772,30.3518057,14.77504459,15.7859233,15.77472999,0.008222917,0.014861039,-1.018581829
